,Latitude,Longitude,Distance
133,36.80716464,-121.7906568,0.266084082
134,36.80717227,-121.7906772,0.268084714
135,36.80717989,-121.7906975,0.270085347
136,36.80718752,-121.7907179,0.272085979
137,36.80719515,-121.7907382,0.274086611
138,36.80720278,-121.7907586,0.276087243
139,36.80721041,-121.7907789,0.278087875
140,36.80721804,-121.7907993,0.280088508
141,36.80722567,-121.7908196,0.28208914
142,36.8072333,-121.79084,0.284089772
143,36.80724093,-121.7908603,0.286090404
144,36.80724855,-121.7908807,0.288091036
145,36.80725618,-121.790901,0.290091669
146,36.80726381,-121.7909214,0.292092301
147,36.80727144,-121.7909417,0.294092933
148,36.80727907,-121.7909621,0.296093565
149,36.8072867,-121.7909824,0.298094197
150,36.80729433,-121.7910028,0.30009483
151,36.80730196,-121.7910231,0.302095462
152,36.80730958,-121.7910435,0.304096094
153,36.80731721,-121.7910638,0.306096726
154,36.80732484,-121.7910842,0.308097358
155,36.80733247,-121.7911045,0.310097991
156,36.8073401,-121.7911249,0.312098623
157,36.80734773,-121.7911453,0.314099255
158,36.80735536,-121.7911656,0.316099887
159,36.80736299,-121.791186,0.318100519
160,36.80737062,-121.7912063,0.320101152
161,36.80737824,-121.7912267,0.322101784
162,36.80738587,-121.791247,0.324102416
163,36.8073935,-121.7912674,0.326103048
164,36.80740113,-121.7912877,0.32810368
165,36.80740876,-121.7913081,0.330104313
166,36.80741639,-121.7913284,0.332104945
167,36.80742402,-121.7913488,0.334105577
168,36.80743165,-121.7913691,0.336106209
169,36.80743928,-121.7913895,0.338106841
170,36.8074469,-121.7914098,0.340107474
171,36.80745453,-121.7914302,0.342108106
172,36.80746216,-121.7914505,0.344108738
173,36.80746979,-121.7914709,0.34610937
174,36.80747742,-121.7914912,0.348110002
175,36.80748505,-121.7915116,0.350110634
176,36.80749268,-121.7915319,0.352111267
177,36.80750031,-121.7915523,0.354111899
178,36.80750793,-121.7915726,0.356112531
179,36.80751556,-121.791593,0.358113163
180,36.80752319,-121.7916133,0.360113795
181,36.80753082,-121.7916337,0.362114428
182,36.80753845,-121.7916541,0.36411506
183,36.80754608,-121.7916744,0.366115692
184,36.80755371,-121.7916948,0.368116324
185,36.80756134,-121.7917151,0.370116956
186,36.80756897,-121.7917355,0.372117589
187,36.80757659,-121.7917558,0.374118221
188,36.80758422,-121.7917762,0.376118853
189,36.80759185,-121.7917965,0.378119485
190,36.80759948,-121.7918169,0.380120117
191,36.80760711,-121.7918372,0.38212075
192,36.80761474,-121.7918576,0.384121382
193,36.80762237,-121.7918779,0.386122014
194,36.80763,-121.7918983,0.388122646
195,36.80763763,-121.7919186,0.390123278
196,36.80764525,-121.791939,0.392123911
197,36.80765288,-121.7919593,0.394124543
198,36.80766051,-121.7919797,0.396125175
199,36.80766814,-121.792,0.398125807
200,36.80767577,-121.7920204,0.400126439
201,36.8076834,-121.7920407,0.402127072
202,36.80769103,-121.7920611,0.404127704
203,36.80769866,-121.7920814,0.406128336
204,36.80770628,-121.7921018,0.408128968
205,36.80771391,-121.7921221,0.4101296
206,36.80772154,-121.7921425,0.412130233
207,36.80772917,-121.7921628,0.414130865
208,36.8077368,-121.7921832,0.416131497
209,36.80774443,-121.7922036,0.418132129
210,36.80775206,-121.7922239,0.420132761
211,36.80775969,-121.7922443,0.422133394
212,36.80776732,-121.7922646,0.424134026
213,36.80777494,-121.792285,0.426134658
214,36.80778257,-121.7923053,0.42813529
215,36.8077902,-121.7923257,0.430135922
216,36.80779783,-121.792346,0.432136555
217,36.80780546,-121.7923664,0.434137187
218,36.80781309,-121.7923867,0.436137819
219,36.80782072,-121.7924071,0.438138451
220,36.80782835,-121.7924274,0.440139083
221,36.80783598,-121.7924478,0.442139716
222,36.8078436,-121.7924681,0.444140348
223,36.80785123,-121.7924885,0.44614098
224,36.80785886,-121.7925088,0.448141612
225,36.80786649,-121.7925292,0.450142244
226,36.80787412,-121.7925495,0.452142877
227,36.80788175,-121.7925699,0.454143509
228,36.80788938,-121.7925902,0.456144141
229,36.80789701,-121.7926106,0.458144773
230,36.80790463,-121.7926309,0.460145405
231,36.80791226,-121.7926513,0.462146038
232,36.80791989,-121.7926716,0.46414667
233,36.80792752,-121.792692,0.466147302
234,36.80793515,-121.7927124,0.468147934
235,36.80794278,-121.7927327,0.470148566
236,36.80795041,-121.7927531,0.472149199
237,36.80795804,-121.7927734,0.474149831
238,36.80796567,-121.7927938,0.476150463
239,36.80797329,-121.7928141,0.478151095
240,36.80798092,-121.7928345,0.480151727
241,36.80798855,-121.7928548,0.48215236
242,36.80799618,-121.7928752,0.484152992
243,36.80800381,-121.7928955,0.486153624
244,36.80801144,-121.7929159,0.488154256
245,36.80801907,-121.7929362,0.490154888
246,36.8080267,-121.7929566,0.49215552
247,36.80803433,-121.7929769,0.494156153
248,36.80804195,-121.7929973,0.496156785
249,36.80804958,-121.7930176,0.498157417
250,36.80805721,-121.793038,0.500158049
251,36.80806484,-121.7930583,0.502158681
252,36.80807247,-121.7930787,0.504159314
253,36.8080801,-121.793099,0.506159946
254,36.80808773,-121.7931194,0.508160578
255,36.80809536,-121.7931397,0.51016121
256,36.80810298,-121.7931601,0.512161842
257,36.80811061,-121.7931804,0.514162475
258,36.80811824,-121.7932008,0.516163107
259,36.80812587,-121.7932211,0.518163739
260,36.8081335,-121.7932415,0.520164371
261,36.80814113,-121.7932619,0.522165003
262,36.80814876,-121.7932822,0.524165636
263,36.80815639,-121.7933026,0.526166268
264,36.80816402,-121.7933229,0.5281669
265,36.80817164,-121.7933433,0.530167532
266,36.80817927,-121.7933636,0.532168164
267,36.8081869,-121.793384,0.534168797
268,36.80819453,-121.7934043,0.536169429
269,36.80820216,-121.7934247,0.538170061
270,36.80820979,-121.793445,0.540170693
271,36.80821742,-121.7934654,0.542171325
272,36.80822505,-121.7934857,0.544171958
273,36.80823268,-121.7935061,0.54617259
274,36.8082403,-121.7935264,0.548173222
275,36.80824793,-121.7935468,0.550173854
276,36.80825556,-121.7935671,0.552174486
277,36.80826319,-121.7935875,0.554175119
278,36.80827082,-121.7936078,0.556175751
279,36.80827845,-121.7936282,0.558176383
280,36.80828608,-121.7936485,0.560177015
281,36.80829371,-121.7936689,0.562177647
